"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","vill"
"1",11054,1991,1,1,72,1,0,3,36,33295,3055.8564453125,902.2548828125,3958.11206054688,1,0.449999988079071,11,8.5,12,8,2.5,55,1
"2",11101,1991,1,1,44,1,5,7,8,16755,2106.83276367188,265.834381103516,2372.66748046875,1,0.449999988079071,11,8.5,12,8,2.5,55,1
"3",12021,1991,2,1,28,1,8,6,10,18795,3401.240234375,789.907043457031,4191.14697265625,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"4",12051,1991,2,1,63,1,6,8,16,20800,3097.73754882812,807.80517578125,3905.54272460938,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"5",12081,1991,2,1,26,1,0,6,10,26160,3188.7197265625,487.471466064453,3676.19067382812,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"6",12121,1991,2,1,43,1,3,8,5,17080,2179.24755859375,245.269149780273,2424.5166015625,1,0.200000002980232,11.5,8.25,12,8,2.5,54,30
"7",13014,1991,3,1,38,1,7,5,26,30320,3115.93432617188,731.791870117188,3847.72607421875,1,0.5,11,8,11,8,2.5,56,59
"8",13054,1991,3,1,60,1,5,10,15,22490,2471.25854492188,413.696350097656,2884.955078125,1,0.5,11,8,11,8,2.5,56,59
"9",13061,1991,3,1,60,1,0,4,10,25310,2595.16723632812,266.924682617188,2862.09204101562,1,0.5,11,8,11,8,2.5,56,59
"10",13091,1991,3,1,63,1,0,3,19,34010,3055.8564453125,413.333343505859,3469.18969726562,1,0.5,11,8,11,8,2.5,56,59
"11",13101,1991,3,1,44,1,4,6,19,32460,2111.37158203125,289.949676513672,2401.32104492188,1,0.5,11,8,11,8,2.5,56,59
"12",13111,1991,3,1,34,1,0,3,3,4242,3130.953125,648.693664550781,3779.64672851562,1,0.5,11,8,11,8,2.5,56,59
"13",13121,1991,3,1,27,1,0,3,8,11615,2888.3330078125,364.363983154297,3252.6962890625,1,0.5,11,8,11,8,2.5,56,59
"14",21061,1991,1,2,34,1,0,4,1,5340,2833.45532226562,1152.69738769531,3986.15307617188,1,0.75,9,9,12,9,2.25,52,2
"15",22021,1991,2,2,27,1,2,4,18,13020,2821.63891601562,1583.92858886719,4405.56787109375,1,0.75,8,8,10,8,1.5,50,31
"16",22024,1991,2,2,54,1,0,5,14,7580,2122.9248046875,238.096099853516,2361.02099609375,1,0.75,8,8,10,8,1.5,50,31
"17",22031,1991,2,2,34,1,0,3,10,6020,2238.4580078125,178.820007324219,2417.27783203125,1,0.75,8,8,10,8,1.5,50,31
"18",22044,1991,2,2,38,1,0,5,4,2690,1996.04467773438,203.535629272461,2199.58032226562,1,0.75,8,8,10,8,1.5,50,31
"19",22054,1991,2,2,44,1,0,3,1.5,1000,2348.21508789062,269.857360839844,2618.072265625,1,0.75,8,8,10,8,1.5,50,31
"20",22091,1991,2,2,35,1,0,4,11,6190,2170.58276367188,181.942245483398,2352.52465820312,1,0.75,8,8,10,8,1.5,50,31
"21",22101,1991,2,2,32,0,0,4,2,2750,2287.56005859375,177.14665222168,2464.70678710938,1,0.75,8,8,10,8,1.5,50,31
"22",22121,1991,2,2,54,1,8,2,1,1,2986.17553710938,822.177307128906,3808.35302734375,1,0.75,8,8,10,8,1.5,50,31
"23",23031,1991,3,2,32,1,0,4,10,6610,2402.37133789062,146.130065917969,2548.50146484375,1,0.75,8,8,10,8,2.25,52,60
"24",23041,1991,3,2,27,1,0,3,1,15400,3312.91796875,1357.99572753906,4670.91357421875,1,0.75,8,8,10,8,2.25,52,60
"25",23044,1991,3,2,56,1,0,6,34,19860,1678.12158203125,169.982711791992,1848.10412597656,1,0.75,8,8,10,8,2.25,52,60
"26",23054,1991,3,2,26,1,0,2,2,1460,3349.02270507812,381.871795654297,3730.89453125,1,0.75,8,8,10,8,2.25,52,60
"27",23081,1991,3,2,40,1,0,8,27,24900,2732.47412109375,421.841735839844,3154.31567382812,1,0.75,8,8,10,8,2.25,52,60
"28",31011,1991,1,3,35,0,2,7,6,131550,2644.06298828125,510.680908203125,3154.74389648438,1,0.150000005960464,10,10,20,8,2.75,56,3
"29",31014,1991,1,3,33,1,12,7,6,174450,3681.38745117188,1477.88977050781,5159.27783203125,1,0.150000005960464,10,10,20,8,2.75,56,3
"30",31024,1991,1,3,34,1,12,6,31,1057950,4085.54711914062,3531.27221679688,7616.81884765625,1,0.150000005960464,10,10,20,8,2.75,56,3
"31",31044,1991,1,3,43,1,5,6,34,383600,4411.92919921875,1273.06018066406,5684.98974609375,1,0.150000005960464,10,10,20,8,2.75,56,3
"32",31051,1991,1,3,35,1,3,4,10,263200,4297.83984375,505.016204833984,4802.85546875,1,0.150000005960464,10,10,20,8,2.75,56,3
"33",31061,1991,1,3,26,1,8,4,5,221560,4245.85009765625,1603.48083496094,5849.3310546875,1,0.150000005960464,10,10,20,8,2.75,56,3
"34",31091,1991,1,3,34,1,4,5,4.5,98800,3414.01049804688,831.390014648438,4245.40087890625,1,0.150000005960464,10,10,20,8,2.75,56,3
"35",31101,1991,1,3,28,1,0,2,1,16845,4575.1201171875,2354.8046875,6929.92431640625,1,0.150000005960464,10,10,20,8,2.75,56,3
"36",31111,1991,1,3,35,0,0,5,1,2125,1975.6201171875,363.934997558594,2339.55517578125,1,0.150000005960464,10,10,20,8,2.75,56,3
"37",31121,1991,1,3,48,0,0,5,12,66580,3616.36352539062,670.895324707031,4287.2587890625,1,0.150000005960464,10,10,20,8,2.75,56,3
"38",32011,1991,2,3,18,1,0,7,9,61410,2367.599609375,460.9462890625,2828.54565429688,1,0.100000001490116,10,10,20,8,2.75,56,32
"39",32014,1991,2,3,50,1,0,3,4,173600,5808.7001953125,13050.7734375,18859.474609375,1,0.100000001490116,10,10,20,8,2.75,56,32
"40",32024,1991,2,3,50,1,0,8,2,36300,3507.15893554688,933.021240234375,4440.1796875,1,0.100000001490116,10,10,20,8,2.75,56,32
"41",32044,1991,2,3,46,1,0,7,2,24950,3198.62280273438,1972.19470214844,5170.8173828125,1,0.100000001490116,10,10,20,8,2.75,56,32
"42",32061,1991,2,3,40,1,0,8,2,16235,2936.35180664062,463.162200927734,3399.51416015625,1,0.100000001490116,10,10,20,8,2.75,56,32
"43",32064,1991,2,3,32,1,2,7,4,43750,4134.57373046875,3226.94702148438,7361.52001953125,1,0.100000001490116,10,10,20,8,2.75,56,32
"44",32121,1991,2,3,52,0,0,7,6,54780,3104.54565429688,6553.47119140625,9658.0166015625,1,0.100000001490116,10,10,20,8,2.75,56,32
"45",32141,1991,2,3,50,1,1,8,5,151110,2930.93603515625,528.392028808594,3459.32788085938,1,0.100000001490116,10,10,20,8,2.75,56,32
"46",33014,1991,3,3,27,1,0,4,0.200000002980232,1100,3349.0224609375,434.772247314453,3783.794921875,1,0.200000002980232,12,10,20,8,2.75,56,61
"47",33034,1991,3,3,40,0,0,2,1,6890,3073.90893554688,510.689880371094,3584.59887695312,1,0.200000002980232,12,10,20,8,2.75,56,61
"48",33051,1991,3,3,28,1,1,5,13,80950,3440.6240234375,693.722351074219,4134.34619140625,1,0.200000002980232,12,10,20,8,2.75,56,61
"49",33054,1991,3,3,38,1,2,5,2,8120,3391.48095703125,337.905639648438,3729.38598632812,1,0.200000002980232,12,10,20,8,2.75,56,61
"50",33064,1991,3,3,50,1,0,14,20,641400,3158.70947265625,763.074096679688,3921.78369140625,1,0.200000002980232,12,10,20,8,2.75,56,61
"51",33131,1991,3,3,28,1,2,6,1.5,23100,2940.32348632812,336.601715087891,3276.92553710938,1,0.200000002980232,12,10,20,8,2.75,56,61
"52",33141,1991,3,3,32,1,0,7,0.25,2660,2188.53149414062,302.881256103516,2491.41259765625,1,0.200000002980232,12,10,20,8,2.75,56,61
"53",41011,1991,1,4,32,1,7,8,8,15405,1548.39794921875,122.616470336914,1671.01440429688,1,0.600000023841858,10,10,10,8,2,55,4
"54",41014,1991,1,4,44,1,5,9,9,22500,2609.12768554688,730.224792480469,3339.35229492188,1,0.600000023841858,10,10,10,8,2,55,4
"55",41021,1991,1,4,25,1,0,3,2,12315,3234.93334960938,518.820556640625,3753.75390625,1,0.600000023841858,10,10,10,8,2,55,4
"56",41034,1991,1,4,29,1,0,2,33,45725,3426.14111328125,338.998901367188,3765.14013671875,1,0.600000023841858,10,10,10,8,2,55,4
"57",41054,1991,1,4,29,1,0,3,11,18845,3509.32495117188,472.166961669922,3981.49243164062,1,0.600000023841858,10,10,10,8,2,55,4
"58",41071,1991,1,4,61,1,0,4,32,63605,3175.72241210938,2930.17700195312,6105.8994140625,1,0.600000023841858,10,10,10,8,2,55,4
"59",41091,1991,1,4,28,1,8,4,1,41900,2110.7939453125,729.595336914062,2840.38940429688,1,0.600000023841858,10,10,10,8,2,55,4
"60",42011,1991,2,4,34,1,0,6,3,14365,2342.4384765625,715.189880371094,3057.62866210938,1,0.600000023841858,10,10,10,8,2,50,33
"61",42034,1991,2,4,46,1,4,7,15,29535,2639.11157226562,515.742980957031,3154.85424804688,1,0.600000023841858,10,10,10,8,2,50,33
"62",42041,1991,2,4,32,1,0,6,3,10170,2313.55493164062,615.674072265625,2929.22924804688,1,0.600000023841858,10,10,10,8,2,50,33
"63",42044,1991,2,4,21,1,0,3,23,11985,2611.05322265625,1215.69091796875,3826.744140625,1,0.600000023841858,10,10,10,8,2,50,33
"64",42054,1991,2,4,44,1,0,6,40,32150,2559.06323242188,2817.37036132812,5376.43359375,1,0.600000023841858,10,10,10,8,2,50,33
"65",42092,1991,2,4,26,1,8,3,18,38160,3414.009765625,844.152160644531,4258.16162109375,1,0.600000023841858,10,10,10,8,2,50,33
"66",42112,1991,2,4,30,1,5,4,2,17280,3032.75,649.286804199219,3682.03662109375,1,0.600000023841858,10,10,10,8,2,50,33
"67",43024,1991,3,4,22,1,0,2,4,9935,3032.75024414062,1174.93103027344,4207.68115234375,1,0.579999983310699,10,10,10,8,2,55,62
"68",43044,1991,3,4,28,0,0,6,33,47585,2423.31127929688,654.680114746094,3077.99145507812,1,0.579999983310699,10,10,10,8,2,55,62
"69",43051,1991,3,4,36,1,0,5,7,29700,2688.18896484375,557.650329589844,3245.83984375,1,0.579999983310699,10,10,10,8,2,55,62
"70",43054,1991,3,4,29,1,0,4,3,16595,2356.87963867188,498.514251708984,2855.39404296875,1,0.579999983310699,10,10,10,8,2,55,62
"71",43061,1991,3,4,29,1,8,3,3,20820,3379.34985351562,3319.1279296875,6698.478515625,1,0.579999983310699,10,10,10,8,2,55,62
"72",43081,1991,3,4,52,1,0,10,6,33085,1625.55395507812,215.118530273438,1840.67248535156,1,0.579999983310699,10,10,10,8,2,55,62
"73",43091,1991,3,4,40,1,7,6,13,130580,2977.87133789062,1722.44189453125,4700.3134765625,1,0.579999983310699,10,10,10,8,2,55,62
"74",43111,1991,3,4,44,1,5,4,1,805,2361.21215820312,294.297271728516,2655.50952148438,1,0.579999983310699,10,10,10,8,2,55,62
"75",43121,1991,3,4,28,0,0,2,2,9570,3647.96508789062,551.411926269531,4199.376953125,1,0.579999983310699,10,10,10,8,2,55,62
"76",51014,1991,1,5,30,1,0,1,4,9270,5900.86474609375,467.730102539062,6368.5947265625,0,0.5,11,8,8,9,1.5,64,5
"77",51024,1991,1,5,40,1,0,7,4,9775,2130.35205078125,215.017105102539,2345.36938476562,0,0.5,11,8,8,9,1.5,64,5
"78",51044,1991,1,5,25,1,0,6,16,38665,3298.4765625,566.048400878906,3864.52514648438,0,0.5,11,8,8,9,1.5,64,5
"79",51054,1991,1,5,25,1,12,4,15,36055,2909.27368164062,621.136108398438,3530.40991210938,0,0.5,11,8,8,9,1.5,64,5
"80",51111,1991,1,5,35,1,5,5,10,27900,2601.23291015625,284.433410644531,2885.66650390625,0,0.5,11,8,8,9,1.5,64,5
"81",52024,1991,2,5,27,1,2,3,2,17700,2596.61157226562,334.662902832031,2931.2744140625,0,0.300000011920929,11,8,8,9,1.5,64,34
"82",52031,1991,2,5,45,0,4,2,3,15150,4089.88012695312,1442.44140625,5532.3212890625,0,0.300000011920929,11,8,8,9,1.5,64,34
"83",52101,1991,2,5,47,1,10,4,8,29750,3383.68237304688,641.823669433594,4025.50610351562,0,0.300000011920929,11,8,8,9,1.5,64,34
"84",53024,1991,3,5,25,1,0,3,10,13550,2622.60668945312,193.821701049805,2816.42846679688,1,0.0500000007450581,10,8,9,9,1.5,64,63
"85",53091,1991,3,5,35,1,2,6,45,63700,2339.55004882812,272.443908691406,2611.99438476562,1,0.0500000007450581,10,8,9,9,1.5,64,63
"86",61014,1991,1,6,69,1,0,5,7,12060,3831.26318359375,1136.990234375,4968.2529296875,1,0.800000011920929,10,9,15,7,2.5,56,6
"87",61031,1991,1,6,38,1,0,6,7.5,26550,2417.53540039062,236.165954589844,2653.701171875,1,0.800000011920929,10,9,15,7,2.5,56,6
"88",61044,1991,1,6,35,1,0,6,5,14615,2713.58911132812,443.430267333984,3157.01928710938,1,0.800000011920929,10,9,15,7,2.5,56,6
"89",61121,1991,1,6,53,1,0,11,39,77550,3469.1513671875,1404.31982421875,4873.47216796875,1,0.800000011920929,10,9,15,7,2.5,56,6
"90",62034,1991,2,6,30,1,0,2,3,12750,5792.55224609375,2323.10205078125,8115.65380859375,1,0.850000023841858,10,9,14,8,2.5,56,35
"91",62041,1991,2,6,45,1,0,3,4,24970,4193.85986328125,1185.80395507812,5379.66357421875,1,0.850000023841858,10,9,14,8,2.5,56,35
"92",62044,1991,2,6,24,1,0,4,3,18100,2937.43481445312,1409.24768066406,4346.6826171875,1,0.850000023841858,10,9,14,8,2.5,56,35
"93",62051,1991,2,6,52,1,0,4,3,18500,5330.05810546875,1331.17065429688,6661.22900390625,1,0.850000023841858,10,9,14,8,2.5,56,35
"94",62061,1991,2,6,50,1,0,6,45,84500,4144.75830078125,622.092407226562,4766.85107421875,1,0.850000023841858,10,9,14,8,2.5,56,35
"95",62071,1991,2,6,38,1,5,5,3,20600,3706.88745117188,991.272583007812,4698.16064453125,1,0.850000023841858,10,9,14,8,2.5,56,35
"96",62091,1991,2,6,35,1,0,4,5,35000,4397.48779296875,1072.53063964844,5470.01806640625,1,0.850000023841858,10,9,14,8,2.5,56,35
"97",62101,1991,2,6,20,1,0,3,1,4450,4216.96630859375,815.94189453125,5032.908203125,1,0.850000023841858,10,9,14,8,2.5,56,35
"98",62111,1991,2,6,34,1,4,4,4,27600,5237.9921875,1641.12463378906,6879.11767578125,1,0.850000023841858,10,9,14,8,2.5,56,35
"99",63021,1991,3,6,52,1,0,5,0.5,4200,2654.9560546875,566.111572265625,3221.0673828125,1,0.25,10,8.5,14,7,2.5,56,64
"100",63034,1991,3,6,46,1,3,14,8.5,189700,3241.94799804688,615.714294433594,3857.66284179688,1,0.25,10,8.5,14,7,2.5,56,64
"101",63041,1991,3,6,42,1,5,7,1,122350,5624.82275390625,2312.50073242188,7937.32373046875,1,0.25,10,8.5,14,7,2.5,56,64
"102",63044,1991,3,6,35,1,0,7,3,65540,2462.09765625,546.439147949219,3008.537109375,1,0.25,10,8.5,14,7,2.5,56,64
"103",63051,1991,3,6,48,1,8,5,4,74750,7067.17431640625,2753.75854492188,9820.9326171875,1,0.25,10,8.5,14,7,2.5,56,64
"104",63091,1991,3,6,35,1,0,5,1,15900,2415.91040039062,426.296661376953,2842.20703125,1,0.25,10,8.5,14,7,2.5,56,64
"105",63101,1991,3,6,45,1,0,8,2,24950,2038.44140625,240.167144775391,2278.60864257812,1,0.25,10,8.5,14,7,2.5,56,64
"106",63111,1991,3,6,48,1,0,7,5,10700,2240.76879882812,267.491485595703,2508.26025390625,1,0.25,10,8.5,14,7,2.5,56,64
"107",71021,1991,1,7,50,1,0,6,1,23925,3844.20190429688,753.408569335938,4597.6103515625,1,0.899999976158142,11,8,14,8,2,52,7
"108",71031,1991,1,7,56,1,0,12,13,48150,3426.8837890625,2172.64575195312,5599.529296875,1,0.899999976158142,11,8,14,8,2,52,7
"109",71041,1991,1,7,29,1,1,5,1,18150,2835.18798828125,282.022125244141,3117.21020507812,1,0.899999976158142,11,8,14,8,2,52,7
"110",71054,1991,1,7,55,1,2,7,5,33280,2354.404296875,277.527160644531,2631.93139648438,1,0.899999976158142,11,8,14,8,2,52,7
"111",71071,1991,1,7,60,1,3,5,6,27725,2972.09521484375,564.752807617188,3536.84765625,1,0.899999976158142,11,8,14,8,2,52,7
"112",71101,1991,1,7,32,0,0,2,1,3375,3344.68994140625,259.086944580078,3603.77709960938,1,0.899999976158142,11,8,14,8,2,52,7
"113",71111,1991,1,7,33,1,8,5,6,31740,2152.38598632812,250.475387573242,2402.86181640625,1,0.899999976158142,11,8,14,8,2,52,7
"114",71141,1991,1,7,24,1,0,6,3,8500,2027.60974121094,183.111129760742,2210.72045898438,1,0.899999976158142,11,8,14,8,2,52,7
"115",72014,1991,2,7,41,1,5,8,12,97900,3634.96752929688,847.670532226562,4482.63720703125,1,0.75,10,9,12,7,2,50,36
"116",72021,1991,2,7,45,1,7,4,15,31675,2651.490234375,5161.4453125,7812.9365234375,1,0.75,10,9,12,7,2,50,36
"117",72024,1991,2,7,45,1,0,7,1.5,5481.5,1619.11730957031,105.962730407715,1725.080078125,1,0.75,10,9,12,7,2,50,36
"118",72061,1991,2,7,28,1,0,4,2,7500,3197.38500976562,275.648406982422,3473.033203125,1,0.75,10,9,12,7,2,50,36
"119",72071,1991,2,7,33,1,0,6,1,26850,2530.17993164062,611.966369628906,3142.146484375,1,0.75,10,9,12,7,2,50,36
"120",72081,1991,2,7,38,0,0,6,27,168090,2749.69311523438,420.142852783203,3169.83569335938,1,0.75,10,9,12,7,2,50,36
"121",72091,1991,2,7,31,1,0,6,21,94825,3304.25390625,728.280944824219,4032.53442382812,1,0.75,10,9,12,7,2,50,36
"122",72121,1991,2,7,55,1,0,4,4,29450,2719.47680664062,347.870697021484,3067.34765625,1,0.75,10,9,12,7,2,50,36
"123",72131,1991,2,7,27,1,0,3,8,21830,3223.38012695312,705.704406738281,3929.0849609375,1,0.75,10,9,12,7,2,50,36
"124",72141,1991,2,7,41,1,0,3,1,7800,3801.046875,787.193298339844,4588.240234375,1,0.75,10,9,12,7,2,50,36
"125",73021,1991,3,7,34,1,1,5,2,7385,2939.4345703125,433.416107177734,3372.8505859375,1,0.75,10,8,10,7,2.5,48,65
"126",73031,1991,3,7,50,1,1,7,1,2185,1767.66003417969,210.849578857422,1978.50964355469,1,0.75,10,8,10,7,2.5,48,65
"127",73044,1991,3,7,32,1,0,3,3,10710,2998.09008789062,1490.31604003906,4488.40673828125,1,0.75,10,8,10,7,2.5,48,65
"128",73051,1991,3,7,32,1,0,5,3,13430,2450.46166992188,210.324340820312,2660.78588867188,1,0.75,10,8,10,7,2.5,48,65
"129",73064,1991,3,7,65,1,0,8,24,40660,2811.79223632812,735.223388671875,3547.01586914062,1,0.75,10,8,10,7,2.5,48,65
"130",73091,1991,3,7,25,1,0,2,1,1280,3032.75,987.639709472656,4020.3896484375,1,0.75,10,8,10,7,2.5,48,65
"131",73111,1991,3,7,31,1,0,5,5,16050,2538.84497070312,430.727478027344,2969.57250976562,1,0.75,10,8,10,7,2.5,48,65
"132",73121,1991,3,7,52,1,0,4,4,7700,2815.45849609375,445.551605224609,3261.01000976562,1,0.75,10,8,10,7,2.5,48,65
"133",73131,1991,3,7,55,1,0,4,1,250,2957.65356445312,485.124176025391,3442.77807617188,1,0.75,10,8,10,7,2.5,48,65
"134",81011,1991,1,8,48,1,5,6,7.51000022888184,17640,4098.544921875,830.111877441406,4928.65576171875,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"135",81021,1991,1,8,48,1,7,5,1,13570,2896.81787109375,712.607116699219,3609.4248046875,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"136",81034,1991,1,8,32,1,2,5,1,1150,2776.26611328125,203.684844970703,2979.95092773438,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"137",81041,1991,1,8,30,1,4,4,10,17660,2291.89282226562,1029.4541015625,3321.3466796875,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"138",81054,1991,1,8,29,1,0,4,20,19160,3171.39038085938,747.670593261719,3919.06103515625,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"139",81071,1991,1,8,27,1,0,3,5.625,10250,3032.75,358.937835693359,3391.68823242188,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"140",81081,1991,1,8,38,1,0,7,45,52660,2090.74072265625,238.367660522461,2329.10864257812,1,0.400000005960464,8.5,6.5,10,9,2.5,56,8
"141",82024,1991,2,8,28,1,0,4,1,3330,3565.64721679688,553.395935058594,4119.04296875,1,0.990000009536743,8.5,6.5,12,9,2.5,56,37
"142",82061,1991,2,8,22,1,0,5,6,25660,3865.25634765625,557.775939941406,4423.03271484375,1,0.990000009536743,8.5,6.5,12,9,2.5,56,37
"143",82091,1991,2,8,32,1,1,4,1,3040,4401.81982421875,1227.12622070312,5628.9453125,1,0.990000009536743,8.5,6.5,12,9,2.5,56,37
"144",82111,1991,2,8,45,1,0,5,32.5,67240,2839.95336914062,1489.96179199219,4329.9150390625,1,0.990000009536743,8.5,6.5,12,9,2.5,56,37
"145",83011,1991,3,8,45,1,1,4,1,9050,3483.32983398438,438.57421875,3921.90405273438,1,0.400000005960464,8,7,10,9,2.5,56,66
"146",83034,1991,3,8,32,1,0,4,8,6075,2271.01782226562,301.977386474609,2572.9951171875,1,0.400000005960464,8,7,10,9,2.5,56,66
"147",83041,1991,3,8,42,1,0,4,7,21370,4022.72607421875,371.357391357422,4394.0830078125,1,0.400000005960464,8,7,10,9,2.5,56,66
