village,1,2,3,4,5
AG1-007,0,0,0,0,1
AG1-008,0,0,0,1,1
AG1-020,0,0,0,1,0
AG1-031,0,0,0,0,0
AG1-032,0,0,0,0,1
AG1-035,0,0,0,0,0
AG1-036,0,0,1,1,0
AG1-047,0,0,0,1,1
AG1-061,0,0,0,0,0
AG1-062,0,0,0,1,1
AG1-074,0,0,0,1,0
ALI-010,0,0,0,0,0
ALI-011,0,0,0,0,0
ALI-018,0,0,0,0,0
ALI-035,0,0,0,0,0
ALI-038,0,0,0,0,0
ALI-039,0,0,0,0,0
ALI-044,0,0,0,0,0
ALI-052,0,0,0,0,0
ALI-060,0,0,0,0,0
ALI-065,0,0,0,0,0
AYB-006,0,0,0,0,0
AYB-017,0,0,0,0,0
AYB-029,0,0,0,0,0
AYB-042,0,0,0,0,0
AYB-052,0,0,0,0,1
AYB-053,0,0,0,0,0
AYB-055,0,0,0,0,0
BAK-006,0,0,0,0,0
BAK-010,0,0,0,0,0
BAK-021,0,0,0,0,0
BAK-036,0,0,0,1,0
BIJ-077,0,0,0,0,0
BIJ-091,0,0,0,0,0
BIJ-099,0,0,0,0,0
BIJ-131,0,0,0,0,0
BIJ-136,0,0,0,0,0
BIJ-145,0,0,0,0,0
BIJ-167,0,0,0,0,0
BIJ-194,0,0,0,0,0
BIJ-212,0,0,0,0,0
BIJ-225,0,0,0,0,0
BLB-076,0,0,0,0,0
BLB-091,0,0,0,0,0
BLB-129,0,0,0,0,0
BRB-120,0,0,0,0,0
CHD-006,0,0,0,0,0
CHD-017,0,0,1,0,0
CHD-025,0,0,0,0,0
CHD-029,0,0,0,0,0
CHD-031,0,0,0,0,0
CHD-032,0,0,0,0,0
CHD-033,0,0,0,0,0
CHD-034,0,0,0,0,0
CHD-035,0,0,0,0,0
CHD-040,0,0,0,0,0
CHD-042,0,0,0,0,0
CHD-058,0,0,0,0,0
CHD-060,0,0,0,0,0
CHD-063,0,0,0,1,1
CHD-067,0,0,0,0,0
CHK-032,0,0,0,0,0
CHK-041,0,0,0,0,0
CHK-060,0,0,0,0,0
CHK-066,0,0,0,0,0
CHK-076,0,0,0,0,0
CHK-180,0,0,0,0,0
CHK-191,0,0,1,0,1
CHK-204,0,0,0,0,0
DAM-005,0,0,0,0,0
DAM-010,0,0,0,0,0
DAM-011,0,0,0,0,0
DAM-015,0,0,0,0,0
DAM-021,0,0,0,0,0
DAM-030,0,0,0,0,0
DAM-035,0,0,0,0,0
DAM-036,0,0,1,1,0
DAM-038,0,0,0,0,0
DAM-040,0,0,0,0,0
DAM-051,0,0,0,0,1
DAM-069,0,0,0,0,0
DAM-071,0,0,1,1,0
DAM-081,0,0,0,0,0
DAM-083,0,0,0,0,0
DND-052,0,0,0,0,0
DND-065,0,0,0,0,0
DND-104,0,0,0,0,0
DND-135,0,0,1,0,0
DND-137,0,0,0,0,0
DND-143,0,0,0,0,0
DYK-061,0,0,0,0,0
DYK-063,0,0,0,0,0
GLN-030,0,0,0,0,0
GLN-157,0,0,0,0,0
GRB-005,0,0,0,0,0
GRB-019,0,0,0,0,0
GRB-057,0,0,0,0,0
GRB-058,0,0,0,0,0
GRM-005,0,0,0,0,1
GRM-016,0,0,0,0,1
GRM-020,0,0,0,0,1
GRM-049,0,0,0,0,0
GRM-056,0,0,0,0,1
GRM-057,0,0,0,0,0
GRM-084,0,0,0,0,1
GRM-123,0,0,0,0,1
GRM-126,0,0,0,0,1
GRM-133,0,0,0,0,1
GRM-134,0,0,0,0,0
GRM-136,0,0,0,1,1
GRM-147,0,0,0,0,1
GRM-159,0,0,0,0,1
GRM-163,0,0,0,0,1
GRM-206,0,0,0,0,1
GRM-218,0,0,0,0,1
GRM-229,0,0,0,0,0
GRM-238,0,0,0,0,0
GRM-247,0,0,0,0,0
IMS-053,0,0,0,0,0
IMS-054,0,0,0,0,0
IMS-060,0,0,0,0,0
IMS-062,0,0,0,0,0
IMS-069,0,0,0,0,0
IMS-133,0,0,0,0,0
IMS-169,0,0,0,0,0
KDZ-061,0,0,0,0,0
KDZ-072,0,0,0,0,0
KDZ-087,0,0,0,1,0
KDZ-106,0,0,0,0,0
KDZ-117,0,0,0,0,0
KDZ-145,0,0,0,0,0
KHU-002,0,0,0,0,0
KHU-003,0,0,0,0,1
KHU-004,0,0,0,1,1
KHU-005,0,0,0,1,1
KHU-006,0,0,0,0,0
KHU-013,0,0,0,0,0
KHU-014,0,0,0,0,0
KHU-016,0,0,0,0,0
KHU-019,0,0,0,0,0
KHU-021,0,0,0,1,0
KHU-024,0,0,0,0,1
KHU-026,0,0,0,0,1
KHU-033,0,0,0,1,1
KHU-041,0,0,0,0,0
KJK-030,0,0,0,0,0
KJK-052,0,0,0,0,0
KKU-011,0,0,0,0,0
KKU-053,0,0,0,0,0
KKU-065,0,0,0,0,0
KKU-068,0,0,0,0,0
KNB-008,0,0,0,0,0
KNB-034,0,0,0,0,0
KNB-069,0,0,0,0,0
KNB-107,0,0,0,0,0
KNB-158,0,0,0,0,1
KRB-032,0,0,0,0,0
KRB-050,0,0,0,0,0
KRB-060,0,0,0,0,0
KRB-063,0,0,0,0,0
KRB-084,0,0,0,0,0
KRB-087,0,0,0,0,0
KRB-137,0,0,0,0,0
KRB-138,0,0,0,0,0
LAK-039,0,0,0,0,0
LAK-051,0,0,0,0,0
LAK-058,0,0,0,0,0
LAM-017,0,0,0,0,0
LAM-041,0,0,0,0,0
LAM-052,0,0,0,0,0
LAM-057,0,0,0,0,0
LAM-062,0,0,0,0,0
LAM-065,0,0,0,0,0
LKG-048,0,0,0,1,1
LKG-053,0,0,0,0,0
LKG-065,0,0,0,0,0
MHA-034,0,0,0,0,0
MHA-099,0,0,0,0,0
MHA-116,0,0,0,0,1
MOQ-021,0,0,0,0,0
MOQ-025,0,0,0,0,0
MOQ-033,0,0,1,0,0
MOQ-038,0,0,1,0,0
MOQ-046,0,0,0,0,0
MOQ-054,0,0,0,0,0
MOQ-061,0,0,0,0,0
MOQ-074,0,0,1,0,0
MOQ-083,0,0,0,0,0
MRW-018,0,0,0,0,0
MRW-030,0,0,0,0,0
MRW-036,0,0,1,0,1
MSQ-040,0,0,0,0,1
MSQ-102,0,0,0,0,0
MUQ-038,0,0,0,0,0
MUQ-069,0,0,0,0,0
MUQ-099,0,0,0,0,0
MWD-075,0,0,0,0,0
MWD-097,0,0,0,0,0
MWD-098,0,0,0,0,0
NDA-001,0,0,0,0,0
NDA-019,0,0,0,0,0
NDA-023,0,0,0,0,0
NDA-028,0,0,0,0,1
NDA-033,0,0,0,0,1
NDA-048,0,0,0,0,1
NDA-060,0,0,0,0,0
NDA-070,0,0,0,0,1
NDA-072,0,0,0,0,1
NDA-073,0,0,0,0,0
NDA-075,0,0,0,0,0
NDA-129,0,0,0,0,0
NDA-143,0,0,0,0,0
NDA-146,0,0,0,0,0
NDA-149,0,0,0,0,0
NDA-163,0,0,0,0,1
NIS-099,0,0,0,0,0
NIS-160,0,0,0,0,0
NIS-197,0,0,0,0,0
NIS-203,0,0,0,0,1
NIS-235,0,0,0,0,0
NRK-065,0,0,0,0,0
PJW-014,0,0,0,0,0
PJW-033,0,0,0,1,0
PJW-050,0,0,0,0,0
PJW-055,0,0,0,0,0
PJW-056,0,0,0,0,0
PJW-060,0,0,0,0,0
PJW-062,0,0,0,0,0
PJW-064,0,0,0,0,0
PJW-102,0,0,0,0,0
PJW-104,0,0,0,1,1
PJW-107,0,0,0,0,0
PJW-123,0,0,0,0,0
PJW-132,0,0,0,0,0
PLK-021,0,0,0,0,0
PLK-034,0,0,0,0,0
PLK-055,0,0,0,0,0
PLK-060,0,0,0,0,0
PLK-097,0,0,0,0,0
PLK-098,0,0,0,1,0
PLK-111,0,0,0,0,0
PLK-118,0,0,0,0,1
PLK-133,0,0,0,0,0
PLK-137,0,0,0,0,0
PLK-140,0,0,0,0,0
PLK-148,0,0,0,0,0
PLK-150,0,0,0,0,0
PTR-007,0,0,0,0,0
PTR-024,0,0,1,0,0
PTR-027,0,0,0,0,0
PTR-028,0,0,0,0,0
PTR-031,0,0,1,1,1
PTR-071,0,0,1,0,0
PTR-075,0,0,0,0,0
QB1-260,0,0,0,0,0
QDS-027,0,0,0,0,0
QDS-029,0,0,0,0,0
QDS-047,0,0,1,1,0
QDS-052,0,0,0,0,0
QDS-089,0,0,1,1,0
QDS-101,0,0,1,1,0
QDS-119,0,0,0,0,0
QLT-025,0,0,0,0,0
QLT-034,0,0,0,0,0
QLT-054,0,0,0,0,0
QLT-057,0,0,0,0,0
QLT-079,0,0,0,0,0
QLT-089,0,0,0,0,0
QLT-095,0,0,0,0,0
QLT-114,0,0,0,0,0
QLT-120,0,0,0,1,1
QLT-128,0,0,0,0,0
QLT-150,0,0,0,0,0
QLT-151,0,0,0,0,0
SHD-106,0,0,0,0,0
SHD-121,0,0,0,0,0
SHD-137,0,0,0,0,0
SHD-228,0,0,0,0,0
SHD-282,0,0,0,0,0
SHD-312,0,0,0,0,0
SHD-358,0,0,0,0,0
SHJ-066,0,0,0,0,0
SHJ-080,0,0,0,0,0
SHJ-106,0,0,0,0,0
SHJ-118,0,0,0,0,0
SHJ-129,0,0,0,0,0
SML-012,0,0,0,0,0
SML-019,0,0,0,0,0
SML-022,0,0,0,1,0
SML-024,0,0,0,0,0
SPB-035,0,0,0,0,0
SPB-050,0,0,0,0,0
SPB-085,0,0,0,0,0
SPB-119,0,0,0,0,0
SPB-165,0,0,0,0,0
SPB-247,0,0,0,0,0
SRK-001,0,0,0,0,0
SRK-005,0,0,1,1,1
SRK-008,0,0,0,0,0
SRK-012,0,0,0,0,1
SRK-020,0,0,0,0,0
SRK-027,0,0,0,0,0
SWK-020,0,0,0,0,0
TNI-010,0,0,0,0,0
TNI-032,0,0,0,0,0
TNI-040,0,0,0,0,0
TNI-066,0,0,0,0,0
TNI-077,0,0,0,0,0
TNI-082,0,0,0,0,0
TNI-085,0,0,0,0,0
TWJ-054,0,0,0,0,0
TWJ-181,0,0,0,0,0
TZY-025,0,0,0,0,0
TZY-032,0,0,0,0,0
WDZ-062,0,0,0,0,0
WDZ-073,0,0,0,0,0
WDZ-079,0,0,0,0,0
ZHR-002,0,0,0,0,0
ZHR-007,0,0,0,0,0
ZHR-010,0,0,0,0,0
ZHR-032,0,0,0,0,0
ZHR-050,0,0,0,0,0
ZHR-054,0,0,0,0,0
ZHR-060,0,0,0,0,0
ZHR-068,0,0,0,0,0
ZHR-075,0,0,0,1,1
ZHR-081,0,0,0,0,0
ZHR-090,0,0,1,1,0
ZHR-092,0,0,0,0,0
ZHR-104,0,0,0,0,0
ZHR-108,0,0,0,0,0
ZHR-122,0,0,0,0,0
ZHR-123,0,0,0,0,0
ZHR-142,0,0,0,0,0
ZRM-034,0,0,0,0,0
ZRM-049,0,0,0,0,0
ZRM-073,0,0,1,1,0
ZRM-112,0,0,0,0,0
ZRM-115,0,0,0,0,0
ZRM-133,0,0,0,0,0
ZRM-179,0,0,0,0,0
