COUNTRY,PSU,Q700B_1,usg
10,207,4,0
10,204,2,1
10,185,3,0
10,142,2,1
10,68,1,1
10,17,4,0
10,58,4,0
10,179,3,0
10,56,1,1
10,57,3,0
10,34,4,0
10,21,4,0
10,112,1,1
10,145,2,1
10,3,4,0
10,89,1,1
10,231,3,0
10,126,1,1
10,56,1,1
10,124,3,0
10,125,2,1
10,17,3,0
10,46,2,1
10,203,4,0
10,74,2,1
10,211,2,1
10,221,4,0
10,52,4,0
10,166,2,1
10,1,4,0
10,69,1,1
10,214,1,1
10,118,3,0
10,15,4,0
10,25,3,0
10,209,4,0
10,219,4,0
10,191,2,1
10,53,2,1
10,227,4,0
10,225,2,1
10,5,3,0
10,176,4,0
10,88,4,0
10,110,2,1
10,240,3,0
10,203,4,0
10,1,3,0
10,11,4,0
10,148,2,1
10,181,4,0
10,42,1,1
10,88,2,1
10,76,2,1
10,89,3,0
10,40,4,0
10,115,3,0
10,60,4,0
10,171,2,1
10,169,4,0
10,113,1,1
10,193,4,0
10,70,2,1
10,143,4,0
10,196,2,1
10,105,1,1
10,44,2,1
10,229,1,1
10,232,3,0
10,224,3,0
10,107,1,1
10,199,3,0
10,206,3,0
10,148,3,0
10,206,4,0
10,32,2,1
10,96,4,0
10,22,3,0
10,12,4,0
10,159,2,1
10,114,2,1
10,76,2,1
10,187,3,0
10,138,2,1
10,20,4,0
10,177,2,1
10,93,3,0
10,155,4,0
10,214,2,1
10,159,2,1
10,157,1,1
10,151,1,1
10,48,4,0
10,99,4,0
10,44,2,1
10,116,1,1
10,1,3,0
10,157,1,1
10,198,3,0
10,95,2,1
10,38,1,1
10,113,4,0
10,142,1,1
10,196,2,1
10,15,4,0
10,27,3,0
10,165,3,0
10,234,4,0
10,110,2,1
10,16,4,0
10,149,2,1
10,134,4,0
10,135,3,0
10,28,3,0
10,45,4,0
10,172,3,0
10,63,1,1
10,116,1,1
10,36,2,1
10,135,2,1
10,1,4,0
10,204,2,1
10,22,4,0
10,161,2,1
10,82,4,0
10,130,2,1
10,65,3,0
10,20,4,0
10,114,3,0
10,22,4,0
10,160,1,1
10,3,4,0
10,85,2,1
10,9,3,0
10,26,4,0
10,24,4,0
10,128,4,0
10,148,3,0
10,36,3,0
10,236,2,1
10,180,3,0
10,156,2,1
10,38,3,0
10,190,4,0
10,212,4,0
10,164,2,1
10,220,4,0
10,96,3,0
10,198,3,0
10,120,2,1
10,231,4,0
10,4,4,0
10,154,2,1
10,225,3,0
10,7,1,1
10,129,3,0
10,83,4,0
10,237,2,1
10,110,1,1
10,81,4,0
10,227,4,0
10,139,3,0
10,176,2,1
10,196,3,0
10,107,2,1
10,53,2,1
10,61,3,0
10,189,4,0
10,188,4,0
10,140,4,0
10,154,1,1
10,125,2,1
10,200,3,0
10,169,2,1
10,76,1,1
10,134,4,0
10,196,2,1
10,50,1,1
10,29,4,0
10,102,4,0
10,194,4,0
10,82,3,0
10,161,3,0
10,240,3,0
10,115,1,1
10,8,4,0
10,26,3,0
10,55,4,0
10,194,4,0
10,11,4,0
10,207,4,0
10,177,4,0
10,178,3,0
10,41,2,1
10,126,2,1
10,146,4,0
10,187,4,0
10,236,2,1
10,38,2,1
10,176,3,0
10,158,3,0
10,111,3,0
10,216,4,0
10,78,4,0
10,88,4,0
10,223,4,0
10,118,3,0
10,104,2,1
10,222,3,0
10,218,2,1
10,194,4,0
10,36,3,0
10,49,4,0
10,60,3,0
10,74,3,0
10,163,1,1
10,45,3,0
10,127,1,1
10,198,2,1
10,185,4,0
10,183,4,0
10,221,3,0
10,97,2,1
10,153,2,1
10,85,2,1
10,52,4,0
10,27,2,1
10,127,4,0
10,61,1,1
10,232,3,0
10,25,2,1
10,104,3,0
10,57,3,0
10,127,4,0
10,7,2,1
10,159,4,0
10,158,2,1
10,3,3,0
10,184,3,0
10,59,2,1
10,22,3,0
10,158,2,1
10,99,1,1
10,205,4,0
10,44,2,1
10,197,4,0
10,136,2,1
10,174,4,0
10,158,3,0
10,64,2,1
10,103,1,1
10,6,4,0
10,10,3,0
10,214,1,1
10,203,4,0
10,219,4,0
10,145,2,1
10,66,1,1
10,178,3,0
10,87,3,0
10,136,2,1
10,82,4,0
10,3,4,0
10,124,1,1
10,89,1,1
10,181,2,1
10,213,3,0
10,135,2,1
10,31,2,1
10,234,2,1
10,130,4,0
10,146,4,0
10,99,4,0
10,107,2,1
10,227,4,0
10,239,2,1
10,53,1,1
10,201,4,0
10,58,3,0
10,117,2,1
10,194,4,0
10,196,3,0
10,25,4,0
10,62,1,1
10,208,4,0
10,160,1,1
10,95,4,0
10,43,3,0
10,78,4,0
10,88,2,1
10,152,3,0
10,148,3,0
10,57,3,0
10,177,4,0
10,172,3,0
10,35,2,1
10,110,2,1
10,187,2,1
10,175,4,0
10,63,2,1
10,19,4,0
10,15,3,0
10,99,3,0
10,215,3,0
10,225,3,0
10,121,2,1
10,147,4,0
10,31,4,0
10,25,4,0
10,28,3,0
10,72,3,0
10,5,4,0
10,85,1,1
10,200,4,0
10,14,4,0
10,166,2,1
10,86,4,0
10,144,1,1
10,88,3,0
10,163,1,1
10,111,3,0
10,93,1,1
10,183,2,1
10,22,4,0
10,19,3,0
10,38,3,0
10,152,2,1
10,231,3,0
10,137,3,0
10,42,3,0
10,63,3,0
10,179,4,0
10,40,4,0
10,30,3,0
10,220,4,0
10,131,4,0
10,102,4,0
10,217,3,0
10,209,4,0
10,45,4,0
10,124,2,1
10,84,2,1
10,59,1,1
10,69,2,1
10,49,1,1
10,81,3,0
10,201,4,0
10,203,4,0
10,21,3,0
10,79,2,1
10,118,2,1
10,9,4,0
10,114,2,1
10,219,4,0
10,44,1,1
10,200,4,0
10,186,4,0
10,11,4,0
10,61,4,0
10,77,2,1
10,132,2,1
10,125,2,1
10,87,1,1
10,218,2,1
10,83,4,0
10,223,4,0
10,211,1,1
10,146,1,1
10,42,4,0
10,213,2,1
10,133,2,1
10,39,4,0
10,137,2,1
10,45,3,0
10,190,3,0
10,45,4,0
10,86,4,0
10,4,2,1
10,28,4,0
10,15,4,0
10,169,1,1
10,205,4,0
10,15,4,0
10,32,2,1
10,210,4,0
10,185,4,0
10,108,2,1
10,150,1,1
10,213,2,1
10,168,4,0
10,14,4,0
10,108,1,1
10,175,4,0
10,87,1,1
10,138,1,1
10,224,4,0
10,115,2,1
10,109,4,0
10,2,3,0
10,212,2,1
10,156,3,0
10,189,4,0
10,74,4,0
10,232,3,0
10,170,2,1
10,7,2,1
10,220,4,0
10,87,1,1
10,120,1,1
10,239,4,0
10,98,4,0
10,46,4,0
10,110,2,1
10,119,2,1
10,210,4,0
10,230,4,0
10,62,4,0
10,212,3,0
10,221,2,1
10,103,2,1
10,48,4,0
10,159,1,1
10,140,4,0
10,157,4,0
10,135,2,1
10,180,2,1
10,46,3,0
10,27,2,1
10,10,4,0
10,112,2,1
10,152,1,1
10,75,2,1
10,51,1,1
10,57,2,1
10,10,4,0
10,22,4,0
10,180,1,1
10,44,4,0
10,191,4,0
10,229,4,0
10,68,2,1
10,4,1,1
10,164,1,1
10,24,4,0
10,183,3,0
10,66,2,1
10,221,2,1
10,121,2,1
10,155,3,0
10,69,1,1
10,230,4,0
10,141,2,1
10,186,4,0
10,12,4,0
10,50,1,1
10,67,3,0
10,111,2,1
10,20,3,0
10,84,2,1
10,115,1,1
10,91,1,1
10,112,3,0
10,114,2,1
10,234,4,0
10,5,4,0
10,116,4,0
10,146,4,0
10,60,2,1
10,70,2,1
10,233,4,0
10,33,4,0
10,211,2,1
10,240,4,0
10,238,2,1
10,120,3,0
10,43,3,0
10,137,4,0
10,180,2,1
10,176,4,0
10,142,1,1
10,63,3,0
10,230,3,0
10,121,1,1
10,201,2,1
10,83,4,0
10,186,3,0
10,171,3,0
10,200,3,0
10,8,4,0
10,36,4,0
10,165,3,0
10,19,3,0
10,34,4,0
10,172,3,0
10,215,2,1
10,206,4,0
10,14,4,0
10,19,4,0
10,223,4,0
10,30,2,1
10,200,1,1
10,6,4,0
10,16,1,1
10,138,2,1
10,134,3,0
10,157,1,1
10,48,4,0
10,65,3,0
10,144,2,1
10,39,2,1
10,57,1,1
10,12,4,0
10,159,2,1
10,135,2,1
10,206,4,0
10,143,4,0
10,31,4,0
10,75,2,1
10,223,4,0
10,78,4,0
10,215,2,1
10,73,1,1
10,89,1,1
10,179,4,0
10,191,3,0
10,72,1,1
10,90,4,0
10,125,2,1
10,205,4,0
10,203,4,0
10,236,3,0
10,99,2,1
10,19,4,0
10,108,2,1
10,125,2,1
10,33,4,0
10,92,2,1
10,62,1,1
10,78,4,0
10,91,2,1
10,175,4,0
10,79,3,0
10,16,1,1
10,55,4,0
10,143,2,1
10,52,2,1
10,210,4,0
10,200,4,0
10,225,3,0
10,49,4,0
10,180,3,0
10,185,3,0
10,90,2,1
10,239,3,0
10,208,4,0
10,139,4,0
10,199,2,1
10,27,4,0
10,207,4,0
10,75,1,1
10,165,3,0
10,38,4,0
10,194,4,0
10,152,4,0
10,149,3,0
10,18,4,0
10,130,2,1
10,73,2,1
10,116,1,1
10,90,2,1
10,167,4,0
10,227,4,0
10,170,2,1
10,121,1,1
10,43,2,1
10,52,1,1
10,52,4,0
10,123,3,0
10,175,4,0
10,193,4,0
10,1,4,0
10,99,1,1
10,238,4,0
10,16,3,0
10,145,1,1
10,215,4,0
10,31,4,0
10,37,2,1
10,197,4,0
10,44,1,1
10,176,4,0
10,69,1,1
10,105,2,1
10,79,3,0
10,130,2,1
10,207,4,0
10,209,4,0
10,169,3,0
10,80,2,1
10,39,3,0
10,49,3,0
10,31,4,0
10,23,4,0
10,41,2,1
10,43,2,1
10,41,4,0
10,38,4,0
10,83,4,0
10,151,4,0
10,14,4,0
10,140,4,0
10,91,3,0
10,187,4,0
10,201,4,0
10,67,2,1
10,233,4,0
10,61,1,1
10,70,3,0
10,182,3,0
10,146,4,0
10,123,4,0
10,191,3,0
10,32,2,1
10,63,1,1
10,53,1,1
10,133,2,1
10,50,1,1
10,140,4,0
10,66,1,1
10,9,4,0
10,170,2,1
10,19,4,0
10,223,4,0
10,211,2,1
10,176,3,0
10,142,1,1
10,226,4,0
10,218,1,1
10,56,2,1
10,5,1,1
10,104,4,0
10,81,4,0
10,199,3,0
10,229,2,1
10,125,2,1
10,117,1,1
10,102,3,0
10,135,2,1
10,84,2,1
10,131,3,0
10,15,4,0
10,13,2,1
10,147,4,0
10,239,4,0
10,167,2,1
10,157,1,1
10,235,2,1
10,231,4,0
10,70,1,1
10,169,4,0
10,149,3,0
10,183,2,1
10,231,3,0
10,205,4,0
10,56,4,0
10,12,4,0
10,137,2,1
10,93,2,1
10,17,3,0
10,64,1,1
10,6,4,0
10,203,4,0
10,104,4,0
10,240,4,0
10,37,2,1
10,72,4,0
10,29,4,0
10,173,4,0
10,157,3,0
10,222,4,0
10,230,4,0
10,221,4,0
10,163,3,0
10,202,2,1
10,51,2,1
10,129,4,0
10,236,3,0
10,83,4,0
10,169,1,1
10,88,4,0
10,179,2,1
10,90,4,0
10,90,2,1
10,101,2,1
10,50,4,0
10,48,4,0
10,196,2,1
10,165,2,1
10,65,3,0
10,89,1,1
10,184,2,1
10,39,3,0
10,184,2,1
10,28,4,0
10,29,4,0
10,80,1,1
10,136,2,1
10,22,3,0
10,139,2,1
10,220,4,0
10,121,1,1
10,136,3,0
10,55,2,1
10,109,2,1
10,182,2,1
10,186,2,1
10,105,2,1
10,114,2,1
10,122,3,0
10,239,4,0
10,155,2,1
10,183,2,1
10,187,4,0
10,214,2,1
10,16,4,0
10,117,4,0
10,144,3,0
10,233,4,0
10,172,4,0
10,196,4,0
10,188,1,1
10,200,4,0
10,77,1,1
10,174,4,0
10,156,2,1
10,117,2,1
10,62,3,0
10,168,1,1
10,146,1,1
10,150,2,1
10,128,2,1
10,46,3,0
10,136,1,1
10,101,4,0
10,187,2,1
10,232,4,0
10,204,3,0
10,193,4,0
10,64,1,1
10,158,3,0
10,117,4,0
10,33,4,0
10,94,4,0
10,2,4,0
10,49,3,0
10,205,4,0
10,38,2,1
10,165,3,0
10,166,1,1
10,21,2,1
10,206,3,0
10,16,4,0
10,178,4,0
10,143,4,0
10,107,2,1
10,232,2,1
10,71,2,1
10,226,4,0
10,183,3,0
10,188,4,0
10,178,3,0
10,131,3,0
10,91,4,0
10,63,2,1
10,147,2,1
10,26,3,0
10,45,3,0
10,16,4,0
10,103,2,1
10,59,1,1
10,147,2,1
10,137,2,1
10,162,3,0
10,5,1,1
10,31,4,0
10,105,1,1
10,212,4,0
10,213,1,1
10,78,4,0
10,109,2,1
10,62,1,1
10,227,4,0
10,24,4,0
10,58,1,1
10,18,3,0
10,219,3,0
10,141,4,0
10,58,1,1
10,132,3,0
10,94,2,1
10,192,4,0
10,190,3,0
10,174,4,0
10,153,2,1
10,178,3,0
10,140,4,0
10,120,2,1
10,78,2,1
10,17,3,0
10,52,2,1
10,119,2,1
10,73,1,1
10,227,4,0
10,67,1,1
10,230,4,0
10,201,2,1
10,99,1,1
10,6,4,0
10,66,2,1
10,108,1,1
10,105,1,1
10,37,3,0
10,81,3,0
10,45,4,0
10,224,3,0
10,135,1,1
10,46,2,1
10,226,4,0
10,216,2,1
10,94,4,0
10,109,1,1
10,77,2,1
10,1,4,0
10,89,2,1
10,57,4,0
10,140,3,0
10,42,2,1
10,125,2,1
10,76,2,1
10,168,3,0
10,175,4,0
10,9,4,0
10,124,2,1
10,42,4,0
10,192,4,0
10,30,4,0
10,67,2,1
10,9,4,0
10,121,2,1
10,116,2,1
10,124,4,0
10,5,3,0
10,126,1,1
10,36,2,1
10,48,4,0
10,239,3,0
10,225,3,0
10,97,4,0
10,165,4,0
10,223,4,0
10,191,3,0
10,86,4,0
10,122,2,1
10,49,4,0
10,209,4,0
10,45,3,0
10,173,4,0
10,47,4,0
10,146,4,0
10,73,1,1
10,217,3,0
10,103,2,1
10,33,4,0
10,104,3,0
10,210,4,0
10,217,3,0
10,159,1,1
10,28,3,0
10,96,3,0
10,182,2,1
10,8,4,0
10,126,2,1
10,4,4,0
10,55,1,1
10,182,3,0
10,60,2,1
10,4,3,0
10,54,1,1
10,39,3,0
10,75,1,1
10,67,2,1
10,37,3,0
10,236,4,0
10,133,2,1
10,112,3,0
10,8,4,0
10,213,2,1
10,5,4,0
10,71,1,1
10,150,2,1
10,124,1,1
10,196,3,0
10,151,1,1
10,31,4,0
10,161,1,1
10,74,1,1
10,95,2,1
10,66,3,0
10,143,2,1
10,77,3,0
10,130,4,0
10,155,2,1
10,92,3,0
10,10,4,0
10,193,4,0
10,61,2,1
10,181,4,0
10,84,1,1
10,164,2,1
10,40,3,0
10,118,3,0
10,61,1,1
10,122,2,1
10,163,2,1
10,9,3,0
10,206,4,0
10,68,1,1
10,217,3,0
10,11,4,0
10,2,3,0
10,127,2,1
10,67,4,0
10,186,3,0
10,14,2,1
10,134,4,0
10,219,2,1
10,220,4,0
10,102,4,0
10,60,4,0
10,111,4,0
10,224,4,0
10,79,1,1
10,151,2,1
10,68,2,1
10,104,2,1
10,8,3,0
10,69,3,0
10,140,3,0
10,28,3,0
10,65,4,0
10,187,3,0
10,191,4,0
10,225,4,0
10,85,2,1
10,171,4,0
10,101,2,1
10,149,2,1
10,169,2,1
10,82,4,0
10,216,4,0
10,192,3,0
10,42,2,1
10,177,3,0
10,118,2,1
10,228,4,0
10,24,4,0
10,94,2,1
10,232,4,0
10,119,3,0
10,12,3,0
10,127,1,1
10,217,3,0
10,29,4,0
10,202,4,0
10,164,1,1
10,47,4,0
10,54,2,1
10,164,1,1
10,67,2,1
10,71,2,1
10,238,3,0
10,27,2,1
10,13,2,1
10,178,3,0
10,3,4,0
10,145,1,1
10,7,3,0
10,171,3,0
10,27,2,1
10,116,2,1
10,38,4,0
10,235,2,1
10,122,2,1
10,186,2,1
10,117,4,0
10,223,4,0
10,99,1,1
10,74,3,0
10,14,4,0
10,52,1,1
10,94,2,1
10,224,1,1
10,189,4,0
10,40,3,0
10,58,2,1
10,181,4,0
10,136,1,1
10,212,1,1
10,54,1,1
10,114,3,0
10,198,1,1
10,192,4,0
10,14,4,0
10,202,4,0
10,114,3,0
10,75,1,1
10,99,2,1
10,18,3,0
10,171,2,1
10,148,2,1
10,210,4,0
10,222,2,1
10,216,2,1
10,112,4,0
10,137,2,1
10,213,1,1
10,198,2,1
10,172,3,0
10,6,4,0
10,50,4,0
10,188,4,0
10,85,1,1
10,123,3,0
10,113,4,0
10,149,1,1
10,87,2,1
10,170,2,1
10,235,2,1
10,138,3,0
10,226,4,0
10,124,3,0
10,189,4,0
10,46,2,1
10,227,4,0
10,215,3,0
10,29,3,0
10,204,2,1
10,192,3,0
10,182,4,0
10,124,2,1
10,39,2,1
10,7,4,0
10,168,2,1
10,156,1,1
10,109,1,1
10,232,2,1
10,221,3,0
10,120,3,0
10,32,4,0
10,66,3,0
10,45,4,0
10,48,1,1
10,210,4,0
10,93,3,0
10,129,4,0
10,213,2,1
10,111,1,1
10,161,2,1
10,94,3,0
10,79,1,1
10,123,4,0
10,90,2,1
10,153,4,0
10,209,4,0
10,112,2,1
10,225,2,1
10,162,2,1
10,13,3,0
10,228,4,0
10,228,4,0
10,106,4,0
10,20,4,0
10,105,2,1
10,41,4,0
10,220,4,0
10,34,4,0
10,209,4,0
10,160,2,1
10,18,3,0
10,7,2,1
10,207,4,0
10,222,2,1
10,19,3,0
10,47,3,0
10,198,2,1
10,101,4,0
10,97,2,1
10,154,1,1
10,155,2,1
10,34,4,0
10,71,2,1
10,94,2,1
10,92,2,1
10,18,4,0
10,36,2,1
10,155,3,0
10,99,1,1
10,184,4,0
10,23,2,1
10,163,3,0
10,209,4,0
10,203,4,0
10,159,1,1
10,188,4,0
10,72,2,1
10,144,2,1
10,89,2,1
10,22,3,0
10,58,2,1
10,190,4,0
10,35,2,1
10,47,3,0
10,238,1,1
10,151,2,1
10,62,2,1
10,138,1,1
10,80,3,0
10,25,4,0
10,101,1,1
10,20,4,0
10,130,3,0
10,229,1,1
10,164,1,1
10,85,1,1
10,37,3,0
10,108,3,0
10,16,2,1
10,150,1,1
10,201,4,0
10,125,2,1
10,172,3,0
10,176,4,0
10,222,2,1
10,126,3,0
10,51,2,1
10,192,4,0
10,118,1,1
10,26,2,1
10,157,3,0
10,146,1,1
10,170,3,0
10,194,4,0
10,10,4,0
10,136,2,1
10,219,2,1
10,144,1,1
10,26,3,0
10,161,2,1
10,99,2,1
10,208,4,0
10,105,2,1
10,92,1,1
10,23,4,0
10,109,1,1
10,30,4,0
10,95,2,1
10,107,2,1
10,173,3,0
10,165,4,0
10,240,4,0
10,99,2,1
10,119,1,1
10,229,4,0
10,85,1,1
10,2,3,0
10,174,4,0
10,132,2,1
10,154,3,0
10,198,3,0
10,224,3,0
10,136,1,1
10,166,2,1
10,217,2,1
10,150,1,1
10,197,4,0
10,137,2,1
10,239,4,0
10,95,3,0
10,190,4,0
10,77,1,1
10,17,3,0
10,202,4,0
10,144,2,1
10,187,2,1
10,140,3,0
10,139,4,0
10,157,3,0
10,73,1,1
10,4,3,0
10,157,4,0
10,199,3,0
10,23,3,0
10,46,4,0
10,188,2,1
10,238,2,1
10,169,2,1
10,230,4,0
10,85,1,1
10,29,4,0
10,17,3,0
10,115,3,0
10,13,3,0
10,143,3,0
